Job title,Company name,Location,Skills
SEO Expert,Hansikar Technologies,"Baneshwor- 31, Kathmandu","Time Management,Wordpress,Organizational,Search Engine Optimization (Seo)"
HR Associate,Hansikar Technologies,"Baneshwor- 31, Kathmandu","Problem Solving,Time Management,Organizational,Hr Database Management"
Trainee,Lubdhak Research Foundation,Kathmandu,"Communication,Writing,Report Writing,Content Writing"
Content Writer/Editor,Hansikar Technologies,"Shantinagar, Kathmandu","Interpersonal,Management,Communication,Hospitality,Organizational"
IT Technician,Casino Palace,"Durbarmarga, Kathmandu",
Bartender,A Boutique Property,Kathmandu,
Housekeeping Supervisor,A Boutique Property,Kathmandu,"Interpersonal,Management,Communication,Hospitality,Organizational"
Guest Service Agent / Reception…,A Boutique Property,Kathmandu,"Interpersonal,Management,Communication,Hospitality,Organizational"
Waiter / Waitress,A Boutique Property,Kathmandu,"Interpersonal,Management,Communication,Hospitality,Organizational"
Food & Beverage Supervisor,A Boutique Property,Kathmandu,"Interpersonal,Management,Communication,Hospitality,Organizational"
Sous Chef,A Boutique Property,Kathmandu,"Interpersonal,Management,Communication,Hospitality,Organizational"
Room Attendant,A Boutique Property,Kathmandu,"Interpersonal,Management,Communication,Hospitality,Organizational"
Commis Chef,A Boutique Property,Kathmandu,"Interpersonal,Management,Communication,Hospitality,Organizational"
Account offer,Megha Multipurpose Training Institute,"Chandrapur, rautahat","Interpersonal,Ms Excel,Analytical"
Receptionist / Documentation Of…,Akashi International,"Bagbazar , Kathmandu","Interpersonal,Management,Communication,Organizational"
Marketing Officer,NG Metal Works,"Shankhadevi, Mahalaxmi-8, Lalitpur","Interpersonal,Marketing,Management,Administration,Public Relations"
Front Desk Officer,Kathmandu Infosys Educational Consultancy,"Putalisadak, Kathmandu","Interpersonal,Administration,Public Relations,Recording,Counselling"
Procurement & FIDIC Contract En…,China Communication Construction Company,"Dumre,Tanahun","Procurement,Bidding,Fidic Contract"
Full Stack Developer,Bhugol Park,"Bagbazar, Kathmandu","Interpersonal,Management,Communication,Problem Solving,Organizational"
Chinese Food Cook,China Communication Construction Company,"Dumre, Tanahun","Cooking,Knowledge About Chinese Dishes"
Chinese Translator,China Communication Construction Company,"Dumre, Tanahun","Interpersonal,Management,Communication,Speak Chinese"
Operator (Excavator/Loader/Roll…,China Communication Construction Company,"Dumre, Tanahun","Interpersonal,Management,Communication,Writing"
Foreman/Site Engineer,China Communication Construction Company,"Dumre, Tanahun",
Health And Science Content Writ…,App Haru,"Mid-Baneshwor, Kathmandu, Opposite to Ratna rajya school",
Finance Content Writer,App Haru,"Mid-Baneshwor, Kathmandu, Opposite to Ratna rajya school",Claim Insurance
Insurance Claim Engineer,China Communication Construction Company,"Dumre,Tanahun","Interpersonal,Management,Communication,Negotiation,Time Management,Ms Office"
Mason/Carpenter,China Communication Construction Company,"Dumre, Tanahun","Interpersonal,Time Management,Search Engine Optimization (Seo)"
Management Intern,Sajilo Sewa,"Kathmandu, Nepal","Interpersonal,Management,Communication,Teamwork"
Digital Content Creator,Sajilo Sewa,"New Baneshwor, Kathmandu",
Data Engineer -Support (Night S…,Aqore Software, ,
Digital Marketing Manager,New York Global Consultants Inc. (NYGCI),"Kathmandu, Nepal","Digital Marketing,Budgeting,Google Analytics,Search Engine Optimization (Seo),Market Trend And Strategy"
Content Writer,New York Global Consultants Inc. (NYGCI),"Kathmandu, Nepal","Digital Marketing,Content Writing,Social Media,Copy Writing,Search Engine Optimization (Seo)"
Tech Recruiter,New York Global Consultants Inc. (NYGCI),"Kathmandu, Nepal","Sourcing,Recruitment,Hiring"
Java Developer,V7 Infotech Pvt. Ltd,Work from home,"Interpersonal,Management,Communication,Javascript,Sql"
Sales person,Lucky Thanka,Thamel,"Interpersonal,Management,Sales,Customer Service"
Site Engineer,Elysium Engineering Consultancy Pvt. Ltd.,Kathmandu,"Interpersonal,Communication,Presentation,Site Supervision,Critical Thinking"
Sales and Marketing Officer,DTRG Network,"Kathmandu, Nepal","Interpersonal,Management,Sales,Customer Service,Organizational"
Senior Ticketing Officer,Roshi Tours &Travels,"Sinamangal, Airport Kathmandu","Communication,Problem Solving,Time Management,Java,Node.Js,Organizational"
Backend Developer (Node JS),KG Technologies Pvt. Ltd,"New Baneshar -31, Kathmandu, Nepal","Time Management,Organizational,Search Engine Optimization (Seo)"
SEO Intern,Eunoia Media,"Pimbahal Pokhari, Lalitpur","Html,Python,Django,Django Framework"
Backend Developer (Django),NsDevil,Sanepa Lalitpur,"Problem Solving,Troubleshooting,Network Installation,Technical Documentation"
"Computer Hardware, Network and …",Modern Digitech Nepal Pvt. Ltd.,Newroad 22 Kathmandu,
Video Editor,Eunoia Media,"Lalitpur, Pimbahal Pokhari","Photoshop,Premiere Pro,After Effects"
Office Assistant,IBB Engineering Consultancy Pvt. Ltd.,Balaju Chowk,"Interpersonal,Management,Communication,Organizational"
